site_code,qtr,collection_period,com,is_baseline,shan,shan_b_all,shan_sd20,shan_b_qtr,shan_b_qtr_fill,shan_RR_b_qtr,shan_RR_b_all,shan_LRR_b_qtr,shan_LRR_b_all
TR,4,2017-10-01,community,test,1.3053758850853832,3.56588306943488,1.786845193372555,4.341565778692673,4.341565778692673,-0.6977235432068873,-0.6321535521313173,-0.35993232458033875,-0.45862295211272613
TR,4,2017-11-01,community,test,2.5892359533121128,3.56588306943488,1.786845193372555,4.341565778692673,4.341565778692673,-0.40268949488498995,-0.2731205403416933,-0.9095894981672772,-1.29784204153399
TR,4,2017-12-01,community,test,2.1457768896244955,3.56588306943488,1.786845193372555,4.341565778692673,4.341565778692673,-0.5045974255565203,-0.39713440071596445,-0.683994344737223,-0.9234805147407108
WM,1,2018-02-01,community,test,4.9128671608955825,5.234649006487987,1.0141826120755877,5.104928264878624,5.104928264878624,-0.037549129535563316,-0.06135431469185805,-3.282105082517031,-2.7910897811725532
WM,1,2018-03-01,community,test,5.785657468650095,5.234649006487987,1.0141826120755877,5.104928264878624,5.104928264878624,0.13308675479295792,0.1050610749128251,-2.0167540717337555,-2.253213432090186
WM,2,2018-04-01,community,test,3.292417427113691,5.234649006487987,1.0141826120755877,4.927781500973406,4.927781500973406,-0.3311940946632266,-0.3703263224996799,-1.1050506867530991,-0.9933707093337918
WM,2,2018-05-01,community,test,4.245264469298501,5.234649006487987,1.0141826120755877,4.927781500973406,4.927781500973406,-0.13822341704272612,-0.18864647299858392,-1.9788839388568056,-1.6678805287519762
WM,2,2018-06-01,community,test,6.040506122715639,5.234649006487987,1.0141826120755877,4.927781500973406,4.927781500973406,0.22534910091158888,0.15365320257480566,-1.490104519595667,-1.8730571473114033
WM,4,2017-10-01,community,test,3.5664748552401004,5.234649006487987,1.0141826120755877,4.548494109029339,4.548494109029339,-0.21542624171523708,-0.31807164772785407,-1.5351366938472155,-1.1454786142595468
WM,4,2017-11-01,community,test,3.962850457932026,5.234649006487987,1.0141826120755877,4.548494109029339,4.548494109029339,-0.12847305208474138,-0.24249450191665065,-2.0520361080421643,-1.4167762413702816
WM,4,2017-12-01,community,test,6.510898486712219,5.234649006487987,1.0141826120755877,4.548494109029339,4.548494109029339,0.4304940032270314,0.24334316341196993,-0.842821884997594,-1.4132826367403322
