site_code,collection_period,geographic_range,density
TR,2020-11-01,Restricted,4.7805317856442535
TR,2020-11-01,Unlimited,1.9891928607383056
WM,2017-10-01,Restricted,0.00607425726354938
WM,2017-10-01,Unlimited,0.028852722001859548
WM,2017-11-01,Local,0.00303375047402351
WM,2017-11-01,Restricted,0.01820250284414106
WM,2017-11-01,Unlimited,0.14258627227910506
WM,2017-12-01,Local,0.06021505376344084
WM,2017-12-01,Restricted,0.18279569892473116
WM,2017-12-01,Unlimited,0.5376344086021505
WM,2018-02-01,Local,0.01987577639751552
WM,2018-02-01,Restricted,0.00993788819875776
WM,2018-02-01,Unlimited,0.21697722567287783
WM,2018-03-01,Local,0.01200679081575804
WM,2018-03-01,Restricted,0.01951103507560684
WM,2018-03-01,Unlimited,0.19210865305212904
WM,2018-04-01,Local,0.01405189620758481
WM,2018-04-01,Restricted,0.00766467065868261
WM,2018-04-01,Unlimited,0.04982035928143712
WM,2018-05-01,Local,0.00341880341880341
WM,2018-05-01,Restricted,0.00341880341880341
WM,2018-05-01,Unlimited,0.09401709401709396
WM,2018-06-01,Local,0.0070733863837312
WM,2018-06-01,Unlimited,0.01980548187444737
WM,2018-09-01,Local,0.02818428184281842
WM,2018-09-01,Restricted,0.015176151761517601
WM,2018-09-01,Unlimited,0.12357723577235769
WM,2019-03-01,Local,0.027272727272727268
WM,2019-03-01,Restricted,0.03484848484848484
WM,2019-03-01,Unlimited,0.06363636363636362
WM,2019-10-01,Local,0.00495509445648807
WM,2019-10-01,Restricted,0.00165169815216269
WM,2019-10-01,Unlimited,0.02807886858676575
WM,2020-01-01,Local,0.01260835303388495
WM,2020-01-01,Unlimited,0.16751097602161436
WM,2020-06-01,Local,0.00706495341546341
WM,2020-06-01,Unlimited,0.06122959626734959
WM,2020-09-01,Local,0.00304711409728292
WM,2020-09-01,Unlimited,0.04265959736196094
WM,2020-11-01,Local,0.01076061882525426
WM,2020-11-01,Restricted,0.00239124862783428
WM,2020-11-01,Unlimited,0.1853217686571569
